"Kod";"Nazwa";"Miejsca pracy";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
2200000;"POMORSKIE";"zlikwidowane miejsca pracy";"2016";17,4;"tys. msc.";"";
2200000;"POMORSKIE";"zlikwidowane miejsca pracy";"2017";14,9;"tys. msc.";"";
2200000;"POMORSKIE";"zlikwidowane miejsca pracy";"2018";19,1;"tys. msc.";"";
2200000;"POMORSKIE";"zlikwidowane miejsca pracy";"2019";19,0;"tys. msc.";"";
2200000;"POMORSKIE";"zlikwidowane miejsca pracy";"2020";20,5;"tys. msc.";"";
2200000;"POMORSKIE";"zlikwidowane miejsca pracy";"2021";16,3;"tys. msc.";"";
2200000;"POMORSKIE";"zlikwidowane miejsca pracy";"2022";17,4;"tys. msc.";"";
2200000;"POMORSKIE";"zlikwidowane miejsca pracy";"2023";17,4;"tys. msc.";"";
2200000;"POMORSKIE";"zlikwidowane miejsca pracy";"2024";14,1;"tys. msc.";"";
2400000;"ŚLĄSKIE";"nowo utworzone miejsca pracy";"2015";69,2;"tys. msc.";"";
2400000;"ŚLĄSKIE";"nowo utworzone miejsca pracy";"2016";67,3;"tys. msc.";"";
2400000;"ŚLĄSKIE";"nowo utworzone miejsca pracy";"2017";81,4;"tys. msc.";"";
2400000;"ŚLĄSKIE";"nowo utworzone miejsca pracy";"2018";96,1;"tys. msc.";"";
2400000;"ŚLĄSKIE";"nowo utworzone miejsca pracy";"2019";80,8;"tys. msc.";"";
2400000;"ŚLĄSKIE";"nowo utworzone miejsca pracy";"2020";53,6;"tys. msc.";"";
2400000;"ŚLĄSKIE";"nowo utworzone miejsca pracy";"2021";66,8;"tys. msc.";"";
2400000;"ŚLĄSKIE";"nowo utworzone miejsca pracy";"2022";59,3;"tys. msc.";"";
2400000;"ŚLĄSKIE";"nowo utworzone miejsca pracy";"2023";51,9;"tys. msc.";"";
2400000;"ŚLĄSKIE";"nowo utworzone miejsca pracy";"2024";51,0;"tys. msc.";"";
2400000;"ŚLĄSKIE";"zlikwidowane miejsca pracy";"2015";42,3;"tys. msc.";"";
2400000;"ŚLĄSKIE";"zlikwidowane miejsca pracy";"2016";34,9;"tys. msc.";"";
2400000;"ŚLĄSKIE";"zlikwidowane miejsca pracy";"2017";30,7;"tys. msc.";"";
2400000;"ŚLĄSKIE";"zlikwidowane miejsca pracy";"2018";46,9;"tys. msc.";"";
2400000;"ŚLĄSKIE";"zlikwidowane miejsca pracy";"2019";39,0;"tys. msc.";"";
2400000;"ŚLĄSKIE";"zlikwidowane miejsca pracy";"2020";37,7;"tys. msc.";"";
